template,count
[#7:9]-[C:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[C:6]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[C:8]-[#7:9],42
[#8:1]-[C:2](=[O;D1;H0:3])-[c;H0;D3;+0:4]1:[cH;D2;+0:5]:[c;H0;D3;+0:8](:[c:9]):[c:7]:[nH;D2;+0:6]:1>>[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](-[CH3;D1;+0:5])=N-[NH;D2;+0:6]-[c:7]:[cH;D2;+0:8]:[c:9],40
[c:4]:[c;H0;D3;+0:3]1:[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]2:[c;H0;D3;+0:6]:1-[C:7]-[#16:8]-[c:9]:[c;H0;D3;+0:10]-2:[c:11]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5]1-[CH2;D2;+0:6]-[C:7]-[#16:8]-[c:9]:[c;H0;D3;+0:10]-1:[c:11],36
[#8:8]-[C:7](=[O;D1;H0:9])-[c;H0;D3;+0:5]1:[cH;D2;+0:6]:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:1>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[CH3;D1;+0:6])-[C:7](-[#8:8])=[O;D1;H0:9],36
[C:6]-[c;H0;D3;+0:5]1:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3](:[c:4]):[c;H0;D3;+0:7]:1-[C:8]=[O;D1;H0:9]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[C:8]=[O;D1;H0:9],33
[O;D1;H0:9]=[C:8]1-[#7:10]-[c:11]:[c;H0;D3;+0:12](:[c:13])-[c;H0;D3;+0:5]2:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3](:[c:4]):[c;H0;D3;+0:6]:2-[C:7]-1>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5]1-[CH2;D2;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[#7:10]-[c:11]:[c;H0;D3;+0:12]-1:[c:13],31
[C;D1;H3:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[C;D1;H3:6]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C;D1;H3:6])-[CH2;D2;+0:7]-[C;D1;H3:8],31
[C:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:5](-[C;D1;H3:6]):[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3]:1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C;D1;H3:6])-[CH2;D2;+0:7]-[C:8],30
[#7:9]-[C:8](=[O;D1;H0:10])-[C:7]1-[#16:11]-[c:12]:[c;H0;D3;+0:13](:[c:14])-[c;H0;D3;+0:5]2:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3](:[c:4]):[c;H0;D3;+0:6]:2-1>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5]1-[CH2;D2;+0:6]-[C:7](-[C:8](-[#7:9])=[O;D1;H0:10])-[#16:11]-[c:12]:[c;H0;D3;+0:13]-1:[c:14],30
[C:1]-[c;H0;D3;+0:2]1:[c;H0;D3;+0:7](:[c:8]):[c;H0;D3;+0:5](:[c:6]):[nH;D2;+0:4]:[c;H0;D3;+0:3]:1-[c;H0;D3;+0:9](:[c:10]):[c:11]>>[C:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:3](=[N;H0;D2;+0:4]-N-[c;H0;D3;+0:5](:[c:6]):[cH;D2;+0:7]:[c:8])-[c;H0;D3;+0:9](:[c:10]):[c:11],29
[C:9]-[c;H0;D3;+0:8]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[C:6]=[O;D1;H0:7]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6]=[O;D1;H0:7])-[CH2;D2;+0:8]-[C:9],29
[#7;a:1]:[c;H0;D3;+0:2](:[#7;a:3])-[c;H0;D3;+0:4]1:[nH;D2;+0:7]:[c;H0;D3;+0:8](:[c:9]):[c;H0;D3;+0:10](:[c:11]):[c;H0;D3;+0:5]:1-[C:6]>>[#7;a:1]:[c;H0;D3;+0:2](:[#7;a:3])-[C;H0;D3;+0:4](-[CH2;D2;+0:5]-[C:6])=[N;H0;D2;+0:7]-N-[c;H0;D3;+0:8](:[c:9]):[cH;D2;+0:10]:[c:11],28
[C:8]-[C;H0;D4;+0:7]1(-[C;D1;H3:9])-[C;H0;D3;+0:5](-[C;D1;H3:6])=[N;H0;D2;+0:1]-[c:2]:[c;H0;D3;+0:3]-1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C;D1;H3:6])-[CH;D3;+0:7](-[C:8])-[C;D1;H3:9],26
[#8:1]-[C:2](=[O;D1;H0:3])-[c;H0;D3;+0:4]1:[nH;D2;+0:7]:[c;H0;D3;+0:8](:[c:9]):[c;H0;D3;+0:10](:[c:11]):[c;H0;D3;+0:5]:1-[C:6]>>[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](-[CH2;D2;+0:5]-[C:6])=[N;H0;D2;+0:7]-N-[c;H0;D3;+0:8](:[c:9]):[cH;D2;+0:10]:[c:11],25
[C:6]-[c;H0;D3;+0:5]1:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3](:[c:4]):[c;H0;D3;+0:7]:1-[c;H0;D3;+0:8](:[c:9]):[c:10]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[c;H0;D3;+0:8](:[c:9]):[c:10],24
[N;H0;D3;+0:1].[c:5]:[c;H0;D3;+0:4]:[c:3]:[nH;D2;+0:2]>>[NH2;D1;+0:1]-[NH;D2;+0:2]-[c:3]:[cH;D2;+0:4]:[c:5],24
[C:7]-[c;H0;D3;+0:6]1:[c;H0;D3;+0:5](-[c;H0;D3;+0:8](:[c:9]):[c:10]):[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3]:1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[CH2;D2;+0:6]-[C:7])-[c;H0;D3;+0:8](:[c:9]):[c:10],24
[C:6]-[c;H0;D3;+0:5]1:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3](:[c:4]):[c;H0;D3;+0:7]:1-[C;D1;H3:8]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[C;D1;H3:8],23
[C:1]-[c;H0;D3;+0:2]1:[c;H0;D3;+0:3](-[C:4]):[nH;D2;+0:5]:[c:6]:[c;H0;D3;+0:7]:1:[c:8]>>[C:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:3](-[C:4])=N-[NH;D2;+0:5]-[c:6]:[cH;D2;+0:7]:[c:8],23
[NH2;D1;+0:5]-[CH2;D2;+0:4]-[C:3]-[c;H0;D3;+0:2]1:[cH;D2;+0:1]:[nH;D2;+0:6]:[c:7]:[c;H0;D3;+0:8]:1:[c:9]>>C-O-[CH;D3;+0:1](-O-C)-[CH2;D2;+0:2]-[C:3]-[CH2;D2;+0:4]-Cl.[NH2;D1;+0:5]-[NH;D2;+0:6]-[c:7]:[cH;D2;+0:8]:[c:9],23
[C:8]-[C;H0;D4;+0:7]1(-[C:9])-[C;H0;D3;+0:5](-[C;D1;H3:6])=[N;H0;D2;+0:1]-[c:2]:[c;H0;D3;+0:3]-1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C;D1;H3:6])-[CH;D3;+0:7](-[C:8])-[C:9],22
[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[c;H0;D3;+0:5]1:[c;H0;D3;+0:6](-[c;H0;D3;+0:12](:[c:13]):[c:14]):[nH;D2;+0:7]:[c;H0;D3;+0:8](:[c:9]):[c;H0;D3;+0:10]:1:[c:11]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[CH2;D2;+0:5]-[C;H0;D3;+0:6](=[N;H0;D2;+0:7]-N-[c;H0;D3;+0:8](:[c:9]):[cH;D2;+0:10]:[c:11])-[c;H0;D3;+0:12](:[c:13]):[c:14],22
[#7:7]-[C:6]-[c;H0;D3;+0:5]1:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3](:[c:4]):[c;H0;D3;+0:8]:1-[C:9]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6]-[#7:7])-[CH2;D2;+0:8]-[C:9],22
[NH;D2;+0:1].[c:5]:[c;H0;D3;+0:4]:[c:3]:[nH;D2;+0:2]>>[NH2;D1;+0:1]-[NH;D2;+0:2]-[c:3]:[cH;D2;+0:4]:[c:5],22
[O;D1;H0:3]=[C:2](-[OH;D1;+0:1])-[c;H0;D3;+0:4]1:[cH;D2;+0:5]:[c;H0;D3;+0:8](:[c:9]):[c:7]:[nH;D2;+0:6]:1>>C-C-[O;H0;D2;+0:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](-[CH3;D1;+0:5])=N-[NH;D2;+0:6]-[c:7]:[cH;D2;+0:8]:[c:9],22
[CH3;D1;+0:2].[c:6]:[c;H0;D3;+0:5].[c:4]:[cH;D2;+0:3].[nH;D2;+0:1]>>N-[NH;D2;+0:1]-[c;H0;D3;+0:2](:[cH;D2;+0:3]:[c:4]):[cH;D2;+0:5]:[c:6],21
[c:4]:[c;H0;D3;+0:3]1:[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5](-[c;H0;D3;+0:10](:[c:11]):[c:12]):[c;H0;D3;+0:6]:1-[c;H0;D3;+0:7](:[c:8]):[c:9]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[CH2;D2;+0:6]-[c;H0;D3;+0:7](:[c:8]):[c:9])-[c;H0;D3;+0:10](:[c:11]):[c:12],21
[c:8]:[c;H0;D3;+0:7](:[c:9])-[c;H0;D3;+0:6]1:[cH;D2;+0:5]:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3]:1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[CH;D2;+0:5]-[CH2;D2;+0:6]-[c;H0;D3;+0:7](:[c:8]):[c:9],21
[#7:9]-[C:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:5](-[C:6]):[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3]:1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[C:8]-[#7:9],20
[#16:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[C;D1;H3:6]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C;D1;H3:6])-[CH2;D2;+0:7]-[#16:8],20
[#16:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:5](-[C:6]):[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3]:1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[#16:8],20
[#8:1]-[C:2](=[O;D1;H0:3])-[c;H0;D3;+0:4]1:[nH;D2;+0:9]:[c;H0;D3;+0:10](:[c:11]):[c;H0;D3;+0:12](:[c:13]):[c;H0;D3;+0:5]:1-[c;H0;D3;+0:6](:[c:7]):[c:8]>>[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](-[CH2;D2;+0:5]-[c;H0;D3;+0:6](:[c:7]):[c:8])=[N;H0;D2;+0:9]-N-[c;H0;D3;+0:10](:[c:11]):[cH;D2;+0:12]:[c:13],20
[#8:8]-[C:7]-[c;H0;D3;+0:6]1:[c;H0;D3;+0:9](-[C:10]):[c;H0;D3;+0:4](:[c:5]):[c:3]:[n;H0;D3;+0:1]:1-[C:2]>>N-[N;H0;D3;+0:1](-[C:2])-[c:3]:[cH;D2;+0:4]:[c:5].O=[C;H0;D3;+0:6](-[C:7]-[#8:8])-[CH2;D2;+0:9]-[C:10],20
[C;D1;H3:1]-[NH;D2;+0:2]-[c:4]:[c;H0;D3;+0:5]:[c:6].[O;H0;D1;+0:3]>>[C;D1;H3:1]-[N;H0;D3;+0:2](-N=[O;H0;D1;+0:3])-[c:4]:[cH;D2;+0:5]:[c:6],20
[CH3;D1;+0:4].[NH;D2;+0:1].[cH;D2;+0:5]:[c:6]:[c:7]:[c;H0;D3;+0:8]:[c;H0;D3;+0:3]:[nH;D2;+0:2]>>[NH2;D1;+0:1]-[NH;D2;+0:2]-[c;H0;D3;+0:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[c:6]:[c:7]:[cH;D2;+0:8]:1,19
[O;D1;H0:3]=[C:2](-[OH;D1;+0:1])-[c;H0;D3;+0:4]1:[cH;D2;+0:5]:[c;H0;D3;+0:8](:[c:9]):[c:7]:[nH;D2;+0:6]:1>>C-[O;H0;D2;+0:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](-[CH3;D1;+0:5])=N-[NH;D2;+0:6]-[c:7]:[cH;D2;+0:8]:[c:9],19
[CH3;D1;+0:7].[cH;D2;+0:6]:[c:5]:[c:4]:[c;H0;D3;+0:3]:[c;H0;D3;+0:2]:[nH;D2;+0:1]>>N-[NH;D2;+0:1]-[c;H0;D3;+0:2]1:[cH;D2;+0:3]:[c:4]:[c:5]:[cH;D2;+0:6]:[cH;D2;+0:7]:1,19
[C;D1;H3:8]-[C;H0;D4;+0:7]1(-[C;D1;H3:9])-[C;H0;D3;+0:5](-[c:6])=[N;H0;D2;+0:1]-[c:2]:[c;H0;D3;+0:3]-1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[c:6])-[CH;D3;+0:7](-[C;D1;H3:8])-[C;D1;H3:9],18
