template,count
[#16:1]-[NH;D2;+0:2]-[CH;D3;+0:3](-[c:4])-[C;H0;D3;+0:6](=[C;D1;H2:5])-[C:7](-[C;D1;H3:8])=[O;D1;H0:9]>>[#16:1]-[N;H0;D2;+0:2]=[CH;D2;+0:3]-[c:4].[C;D1;H2:5]=[CH;D2;+0:6]-[C:7](-[C;D1;H3:8])=[O;D1;H0:9],31
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[C@@H;D3;+0:12](-[OH;D1;+0:11])-[c:13].[#8:6]-[C:7](=[O;D1;H0:8])-[C;H0;D3;+0:9](=[C;D1;H2:10])-[C@H;D3;+0:15](-[OH;D1;+0:14])-[c:16]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[#8:6]-[C:7](=[O;D1;H0:8])-[CH;D2;+0:9]=[C;D1;H2:10].[O;H0;D1;+0:11]=[CH;D2;+0:12]-[c:13].[O;H0;D1;+0:14]=[CH;D2;+0:15]-[c:16],29
[#7;+:1]-[C;H0;D3;+0:2](=[C:3])-[CH;D3;+0:7](-[OH;D1;+0:8])-[C:5](-[#8:4])=[O;D1;H0:6]>>[#7;+:1]-[CH;D2;+0:2]=[C:3].[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D2;+0:7]=[O;H0;D1;+0:8],28
[#16:3]-[NH;D2;+0:4]-[CH;D3;+0:1](-[c:2])-[C;H0;D3;+0:8](=[C;D1;H2:9])-[C:6](-[#8:5])=[O;D1;H0:7]>>O=[CH;D2;+0:1]-[c:2].[#16:3]-[NH2;D1;+0:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=[C;D1;H2:9],27
[#16:6]-[CH;D3;+0:7]1-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]-[O;H0;D2;+0:5]-[CH;D3;+0:8]-1-[c:9]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]-[OH;D1;+0:5].[#16:6]-[CH;D2;+0:7]=[CH;D2;+0:8]-[c:9],27
[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D4;+0:4](-[OH;D1;+0:5])(-[c:6])-[C;H0;D3;+0:8](=[C:7])-[C:9]=[O;D1;H0:10]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[c:6].[C:7]=[CH;D2;+0:8]-[C:9]=[O;D1;H0:10],26
[C:1]=[C;H0;D3;+0:2](-[C:3]=[O;D1;H0:4])-[C@H;D3;+0:6](-[OH;D1;+0:5])-[c:7]>>[C:1]=[CH;D2;+0:2]-[C:3]=[O;D1;H0:4].[O;H0;D1;+0:5]=[CH;D2;+0:6]-[c:7],26
[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D4;+0:4](-[OH;D1;+0:5])(-[c:6])-[c;H0;D3;+0:9](:[c:10]):[c:8]:[#8;a:7]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[c:6].[#8;a:7]:[c:8]:[cH;D2;+0:9]:[c:10],26
[#8:6]-[C:5](=[O;D1;H0:7])-[C:3]1=[CH;D2;+0:4]-[N;H0;D3;+0:17]2-[C;H0;D3;+0:18](=[O;D1;H0:19])-[N;H0;D3;+0:9](-[C:8])-[c:10]:[c:11]-[C@;H0;D4;+0:12]-2(-[C:13](-[F;D1;H0:14])(-[F;D1;H0:15])-[F;D1;H0:16])-[C@@H;D3;+0:1]-1-[c:2]>>C-C(-C)(-C)-O-C(=O)-O-[CH;D3;+0:1](-[c:2])-[C:3](=[CH2;D1;+0:4])-[C:5](-[#8:6])=[O;D1;H0:7].[C:8]-[n;H0;D3;+0:9]1:[c:10]:[c:11]:[c;H0;D3;+0:12](-[C:13](-[F;D1;H0:14])(-[F;D1;H0:15])-[F;D1;H0:16]):[n;H0;D2;+0:17]:[c;H0;D3;+0:18]:1=[O;D1;H0:19],25
[#16:1]-[NH;D2;+0:2]-[CH;D3;+0:3](-[c:4])-[C;H0;D3;+0:6](=[C:5])-[C:7]=[O;D1;H0:8]>>[#16:1]-[N;H0;D2;+0:2]=[CH;D2;+0:3]-[c:4].[C:5]=[CH;D2;+0:6]-[C:7]=[O;D1;H0:8],25
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[CH2;D2;+0:6]-[OH;D1;+0:7]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[CH2;D1;+0:6]=[O;H0;D1;+0:7],25
[#7;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[OH;D1;+0:5])-[C;H0;D3;+0:7](=[C;D1;H2:6])-[C:8]#[N;D1;H0:9]>>[#7;a:1]:[c:2]:[c:3]-[CH;D2;+0:4]=[O;H0;D1;+0:5].[C;D1;H2:6]=[CH;D2;+0:7]-[C:8]#[N;D1;H0:9],25
[#7;+:1]/[C;H0;D3;+0:2](=[C:3]/[c:4])-[CH2;D2;+0:5]-[OH;D1;+0:6]>>[#7;+:1]/[CH;D2;+0:2]=[C:3]/[c:4].[CH2;D1;+0:5]=[O;H0;D1;+0:6],24
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[C@H;D3;+0:7](-[OH;D1;+0:6])-[c:8]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[O;H0;D1;+0:6]=[CH;D2;+0:7]-[c:8],24
[#8:5]-[C:4](=[O;D1;H0:6])-[c;H0;D3;+0:2]1:[cH;D2;+0:3]:[n;H0;D3;+0:11](-[C:10]):[c;H0;D3;+0:12](-[c;H0;D3;+0:13](:[c:14]):[c:15]):[c;H0;D3;+0:1]:1-[c;H0;D3;+0:7](:[c:8]):[c:9]>>C-C(-C)(-C)-O-C(=O)-O-[CH;D3;+0:1](-[C;H0;D3;+0:2](=[CH2;D1;+0:3])-[C:4](-[#8:5])=[O;D1;H0:6])-[c;H0;D3;+0:7](:[c:8]):[c:9].[C:10]-[N;H0;D2;+0:11]=[CH;D2;+0:12]-[c;H0;D3;+0:13](:[c:14]):[c:15],24
[#7:1]-[C:2](=[O;D1;H0:3])-[C@@;H0;D4;+0:4](-[OH;D1;+0:5])(-[c:6])-[C;H0;D3;+0:8](=[C;D1;H2:7])-[C:9]=[O;D1;H0:10]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[c:6].[C;D1;H2:7]=[CH;D2;+0:8]-[C:9]=[O;D1;H0:10],23
[C:1]=[C;H0;D3;+0:2](-[C:3]=[O;D1;H0:4])-[C@@H;D3;+0:6](-[OH;D1;+0:5])-[c:7]>>[C:1]=[CH;D2;+0:2]-[C:3]=[O;D1;H0:4].[O;H0;D1;+0:5]=[CH;D2;+0:6]-[c:7],23
[#7;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[OH;D1;+0:5])-[C;H0;D3;+0:7](=[C:6])-[C:8]=[O;D1;H0:9]>>[#7;a:1]:[c:2]:[c:3]-[CH;D2;+0:4]=[O;H0;D1;+0:5].[C:6]=[CH;D2;+0:7]-[C:8]=[O;D1;H0:9],23
[C:1]=[C:2]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[CH;D3;+0:6](-[OH;D1;+0:5])-[c:7]>>[C:1]=[C:2]=[CH;D2;+0:3]-[C;D1;H3:4].[O;H0;D1;+0:5]=[CH;D2;+0:6]-[c:7],23
[O;D1;H0:1]=[C:2]-[C;H0;D3;+0:3]1=[C:4]-[c:5]:[c:6]-[NH;D2;+0:7]-[CH;D3;+0:8]-1-[c:9]>>[O;D1;H0:1]=[C:2]/[CH;D2;+0:3]=[C:4]/[c:5]:[c:6]/[N;H0;D2;+0:7]=[CH;D2;+0:8]/[c:9],23
[#16:1]-[NH;D2;+0:2]-[CH;D3;+0:3](-[c:4])-[C;H0;D3;+0:8](=[C;D1;H2:9])-[C:6](-[#8:5])=[O;D1;H0:7]>>[#16:1]/[N;H0;D2;+0:2]=[CH;D2;+0:3]/[c:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=[C;D1;H2:9],21
[#16:1]-[NH;D2;+0:2]-[C@H;D3;+0:3](-[c:4])-[C;H0;D3;+0:8](=[C;D1;H2:9])-[C:6](-[#8:5])=[O;D1;H0:7]>>[#16:1]/[N;H0;D2;+0:2]=[CH;D2;+0:3]/[c:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=[C;D1;H2:9],21
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[CH;D3;+0:8](-[OH;D1;+0:9])-[C:7]#[C:6]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[C:6]#[C:7]-[CH;D2;+0:8]=[O;H0;D1;+0:9],21
[#7;a:1]:[#8;a:2]:[c:3](:[#7;a:4])-[C;H0;D3;+0:5](=[C;D1;H2:6])-[CH;D3;+0:8](-[OH;D1;+0:7])-[c:9]>>[#7;a:1]:[#8;a:2]:[c:3](:[#7;a:4])-[CH;D2;+0:5]=[C;D1;H2:6].[O;H0;D1;+0:7]=[CH;D2;+0:8]-[c:9],21
[#7:3]-[CH;D3;+0:4](/[CH;D2;+0:1]=[C:2])-[CH;D3;+0:5](-[C;D1;H3:6])-[C;D1;H3:7]>>O-C(=O)-[CH;D2;+0:1]=[C:2].[#7:3]-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C;D1;H3:6])-[C;D1;H3:7],21
[#7:11]-[C:12](=[O;D1;H0:13])-[C;H0;D4;+0:14](-[c:15])(-[c:16])-[CH2;D2;+0:7]/[C;H0;D3;+0:6](-[C:8](-[#8:9])=[O;D1;H0:10])=[C;H0;D3;+0:1](/[c:2])-[C:3](-[#7:4])=[O;D1;H0:5]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D4;+0:1](-[c:2])(-[C:3](-[#7:4])=[O;D1;H0:5])-[C;H0;D3;+0:6](=[CH2;D1;+0:7])-[C:8](-[#8:9])=[O;D1;H0:10].[#7:11]-[C:12](=[O;D1;H0:13])-[CH;D3;+0:14](-[c:15])-[c:16],20
[#15:1]-[NH;D2;+0:2]-[CH;D3;+0:3](-[c:4])-[C;H0;D3;+0:8](=[C;D1;H2:9])-[C:6](-[#8:5])=[O;D1;H0:7]>>[#15:1]-[N;H0;D2;+0:2]=[CH;D2;+0:3]-[c:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=[C;D1;H2:9],20
[#8;a:4]:[c:3]:[c:2]1:[c:5]-[O;H0;D2;+0:6]-[CH2;D2;+0:11]-[C;H0;D3;+0:10](-[C:8](-[C;D1;H3:7])=[O;D1;H0:9])=[CH;D2;+0:1]-1>>O=[CH;D2;+0:1]-[c:2](:[c:3]:[#8;a:4]):[c:5]-[OH;D1;+0:6].[C;D1;H3:7]-[C:8](=[O;D1;H0:9])-[CH;D2;+0:10]=[CH2;D1;+0:11],20
[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D4;+0:4](-[c:5])(-[NH;D2;+0:6]-[C:7](=[O;D1;H0:8])-[#8:9]-[C:10](-[C;D1;H3:11])(-[C;D1;H3:12])-[C;D1;H3:13])-[C;H0;D3;+0:19]1=[C:20]-[C:15](=[O;D1;H0:14])-[#7:16]-[C:17]-1=[O;D1;H0:18]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](-[c:5])=[N;H0;D2;+0:6]-[C:7](=[O;D1;H0:8])-[#8:9]-[C:10](-[C;D1;H3:11])(-[C;D1;H3:12])-[C;D1;H3:13].[O;D1;H0:14]=[C:15]1-[#7:16]-[C:17](=[O;D1;H0:18])-[CH;D2;+0:19]=[C:20]-1,19
[#7:11]=[C:12]-[CH2;D2;+0:13]-[C;H0;D4;+0:1](-[c:2])(-[C:3](-[#7:4])=[O;D1;H0:5])-[C:6](=[C;D1;H2:7])-[C:8](-[#8:9])=[O;D1;H0:10]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D4;+0:1](-[c:2])(-[C:3](-[#7:4])=[O;D1;H0:5])-[C:6](=[C;D1;H2:7])-[C:8](-[#8:9])=[O;D1;H0:10].[#7:11]=[C:12]-[CH3;D1;+0:13],19
[#7:10]-[c;H0;D3;+0:11]1:[c;H0;D3;+0:12](-[C:13]=[O;D1;H0:14]):[c;H0;D3;+0:6](-[c;H0;D3;+0:7](:[c:8]):[c:9]):[c;H0;D3;+0:5](-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4]):[n;H0;D3;+0:15]:1-[C:16]>>C-C(=O)-O-[CH;D3;+0:1](-[C:2](-[#8:3])=[O;D1;H0:4])-[C;H0;D3;+0:5](=[CH;D2;+0:6]-[c;H0;D3;+0:7](:[c:8]):[c:9])-[N+](=O)-[O-].[#7:10]-[C;H0;D3;+0:11](=[CH;D2;+0:12]-[C:13]=[O;D1;H0:14])-[NH;D2;+0:15]-[C:16],19
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[CH;D3;+0:7](-[O;D1;H1:6])-[c:8]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[O;D1;H1:6]-[CH2;D2;+0:7]-[c:8],19
[#16:3]-[NH;D2;+0:4]-[CH;D3;+0:5](-[c:6])/[C;H0;D3;+0:8](-[C:9]=[O;D1;H0:10])=[CH;D2;+0:7]/[CH2;D2;+0:1]-[C;D1;H3:2]>>C-C-[Zn]-[CH2;D2;+0:1]-[C;D1;H3:2].[#16:3]-[N;H0;D2;+0:4]=[CH;D2;+0:5]-[c:6].[CH;D1;+0:7]#[C;H0;D2;+0:8]-[C:9]=[O;D1;H0:10],19
[#16;a:1]:[c:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C;H0;D3;+0:8](=[C;D1;H2:9])-[C:6](-[#8:5])=[O;D1;H0:7]>>[#16;a:1]:[c:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=[C;D1;H2:9],19
[#8:6]-[C:7]-[CH;D3;+0:8](-[OH;D1;+0:9])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[C:2](-[#8:1])=[O;D1;H0:3]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[#8:6]-[C:7]-[CH;D2;+0:8]=[O;H0;D1;+0:9],19
[#8:6]-[C:5](=[O;D1;H0:7])/[C;H0;D3;+0:3](-[CH2;D2;+0:4])=[CH;D2;+0:1]/[c:2]>>O-[CH;D3;+0:1](-[c:2])-[C;H0;D3;+0:3](=[CH2;D1;+0:4])-[C:5](-[#8:6])=[O;D1;H0:7],19
[C:4]=[C;H0;D3;+0:5](-[C:6]=[O;D1;H0:7])-[C@H;D3;+0:2](-[C:1])-[OH;D1;+0:3]>>[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3].[C:4]=[CH;D2;+0:5]-[C:6]=[O;D1;H0:7],19
[#7:7]-[C:8](=[O;D1;H0:9])-[C@;H0;D4;+0:10](-[OH;D1;+0:11])(-[c:12])-[C;H0;D3;+0:16](=[C;D1;H2:17])-[C:14](-[#8:13])=[O;D1;H0:15].[#7:1]-[C:2](=[O;D1;H0:3])-[C@@;H0;D4;+0:4](-[OH;D1;+0:5])(-[c:6])-[C;H0;D3;+0:21](=[C;D1;H2:22])-[C:19](-[#8:18])=[O;D1;H0:20]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[c:6].[#7:7]-[C:8](=[O;D1;H0:9])-[C;H0;D3;+0:10](=[O;H0;D1;+0:11])-[c:12].[#8:13]-[C:14](=[O;D1;H0:15])-[CH;D2;+0:16]=[C;D1;H2:17].[#8:18]-[C:19](=[O;D1;H0:20])-[CH;D2;+0:21]=[C;D1;H2:22],18
[#8:6]-[C:5](=[O;D1;H0:7])-[C:3](=[C;D1;H2:4])-[C@@H;D3;+0:1](-[c:2])-[CH2;D2;+0:8]-[c:9]>>C-C(-C)(-C)-O-C(=O)-O-[CH;D3;+0:1](-[c:2])-[C:3](=[C;D1;H2:4])-[C:5](-[#8:6])=[O;D1;H0:7].[CH3;D1;+0:8]-[c:9],18
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C:5]-[C:6]=[C:7])-[CH;D3;+0:9](-[OH;D1;+0:8])-[c:10]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C:5]-[C:6]=[C:7].[O;H0;D1;+0:8]=[CH;D2;+0:9]-[c:10],18
[#8:6]-[C:7](=[O;D1;H0:8])-[C;H0;D3;+0:9](=[C;D1;H2:10])-[CH;D3;+0:4](-[OH;D1;+0:5])-[c:3]:[c:2]:[#8;a:1]>>[#8;a:1]:[c:2]:[c:3]-[CH;D2;+0:4]=[O;H0;D1;+0:5].[#8:6]-[C:7](=[O;D1;H0:8])-[CH;D2;+0:9]=[C;D1;H2:10],18
