template,count
[O;D1;H0:6]=[C:5]-[NH;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[NH2;D1;+0:4]-[C:5]=[O;D1;H0:6],41
[#7;a:4]:[c:5](:[#7;a:6])-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5](:[#7;a:6])-[NH2;D1;+0:7],41
[#8:4]-[C:5]-[NH;D2;+0:6]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#8:4]-[C:5]-[NH2;D1;+0:6],36
[O;D1;H0:4]=[C:5]-[N;H0;D3;+0:6](-[c:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;D1;H0:4]=[C:5]-[NH;D2;+0:6]-[c:7],36
[O;D1;H0:4]=[C:5]1-[#7:6]-[C;H0;D3;+0:7](-[S;H0;D2;+0:8]-[c;H0;D3;+0:1](:[c:2]):[c:3])=[N;H0;D2;+0:9]/[C:10]-1=[C:11]\[c:12]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;D1;H0:4]=[C:5]1-[#7:6]-[C;H0;D3;+0:7](=[S;H0;D1;+0:8])-[NH;D2;+0:9]/[C:10]-1=[C:11]\[c:12],34
[#7;a:4]:[c:5]:[c:6]-[O;H0;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[c:6]-[OH;D1;+0:7],33
[C;D1;H2:2]=[CH;D2;+0:1]-[O;H0;D2;+0:5]-[C:4]=[O;D1;H0:3]>>C=C-B1-O-B(-C=C)-O-B(-[CH;D2;+0:1]=[C;D1;H2:2])-O-1.[O;D1;H0:3]=[C:4]-[OH;D1;+0:5],30
[C:4]-[O;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[B-](-F)(-F)-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[OH;D1;+0:5],29
[#7:4]-[C;H0;D3;+0:5](=[N;H0;D2;+0:7]-[c:8])-[S;H0;D2;+0:6]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7:4]-[C;H0;D3;+0:5](=[S;H0;D1;+0:6])-[NH;D2;+0:7]-[c:8],29
[#16:2]-[NH;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Cl-[N-;H0;D2:1]-[#16:2].O-B(-O)-[c;H0;D3;+0:3](:[c:4]):[c:5],28
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:3]-[c:4]>>O-B(-O)-[CH2;D2;+0:1]-[C:2].[NH2;D1;+0:3]-[c:4],28
[#16;a:4]:[c:5]:[c:6]-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#16;a:4]:[c:5]:[c:6]-[NH2;D1;+0:7],28
[O;D1;H0:4]=[C:5]-[O;H0;D2;+0:6]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;D1;H0:4]=[C:5]-[OH;D1;+0:6],28
[#15:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#15:4]-[NH2;D1;+0:5],27
[O;D1;H0:4]=[C:5]-[C:6](=[O;D1;H0:7])-[N;H0;D3;+0:8](-[c:9])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;D1;H0:4]=[C:5]-[C:6](=[O;D1;H0:7])-[NH;D2;+0:8]-[c:9],26
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:3]-[C:4]=[O;D1;H0:5]>>C-C1(-C)-O-B(-[CH2;D2;+0:1]-[C:2])-O-C-1(-C)-C.[NH2;D1;+0:3]-[C:4]=[O;D1;H0:5],25
[#7:4]=[C:5]-[N;H0;D3;+0:6](-[C:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7:4]=[C:5]-[NH;D2;+0:6]-[C:7],25
[#7;a:4]:[#7;a:5]:[c:6]-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[#7;a:5]:[c:6]-[NH2;D1;+0:7],25
[#7;a:4]:[c:5]:[c:6]:[n;H0;D3;+0:7](:[c:8])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[c:6]:[nH;D2;+0:7]:[c:8],25
[c:2]:[c;H0;D3;+0:1](:[c:3])-[n;H0;D3;+0:8]1:[c:7]:[c:6]:[n;H0;D2;+0:5]:[cH;D2;+0:4]:1>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].S=[c;H0;D3;+0:4]1:[nH;D2;+0:5]:[c:6]:[c:7]:[nH;D2;+0:8]:1,24
[O-;H0;D1:4]-[n+;H0;D3:5]1:[#7;a:6]:[n;H0;D3;+0:7](-[c;H0;D3;+0:1](:[c:2]):[c:3]):[c:8]:[c:9]:1>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[OH;D1;+0:4]-[n;H0;D3;+0:5]1:[#7;a:6]:[n;H0;D2;+0:7]:[c:8]:[c:9]:1,24
[C:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1(-C)-C.[C:4]-[NH2;D1;+0:5],23
[C:3]/[C:2]=[CH;D2;+0:1]/[O;H0;D2;+0:6]-[C:5]=[O;D1;H0:4]>>F-[B-](-F)(-F)/[CH;D2;+0:1]=[C:2]/[C:3].[O;D1;H0:4]=[C:5]-[OH;D1;+0:6],22
[#7;a:4]:[c:5]:[c:6]1:[c:10](:[#7;a:11]):[#7;a:9]:[c:8]:[n;H0;D3;+0:7]:1-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[c:6]1:[nH;D2;+0:7]:[c:8]:[#7;a:9]:[c:10]:1:[#7;a:11],22
[#7;a:4]:[c:5]:[n;H0;D3;+0:6](:[#7;a:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[nH;D2;+0:6]:[#7;a:7],22
[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],21
[C:5]-[N;H0;D3;+0:4](-[C:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C1(-C)-C-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1.O=C(-O-[N;H0;D3;+0:4](-[C:5])-[C:6])-c1:c:c:c:c:c:1,21
[C:4]-[S;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[SH;D1;+0:5],20
[#8:4]-[C:5](=[O;D1;H0:6])-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#8:4]-[C:5](=[O;D1;H0:6])-[N;H0;D2;+0:7]=[N+]=[N-],19
