template,count
[#8:3]-[C:4](=[O;D1;H0:6])-[NH;D2;+0:5]-[CH;D3;+0:1](-[C:2])-[P;H0;D4;+0:8](-[C:7])(=[O;D1;H0:9])-[O;D1;H1:10]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[C:4](-[NH2;D1;+0:5])=[O;D1;H0:6].[C:7]-[PH;D3;+0:8](=[O;D1;H0:9])-[O;D1;H1:10],28
[#15:3]-[NH;D2;+0:4]-[CH;D3;+0:1](-[c:2])-[P;H0;D4;+0:6](-[#8:5])(-[#8:7])=[O;D1;H0:8]>>O=[CH;D2;+0:1]-[c:2].[#15:3]-[NH2;D1;+0:4].[#8:5]-[PH;D3;+0:6](-[#8:7])=[O;D1;H0:8],27
[#8:1]-[P;H0;D4;+0:2](-[#8:3])(=[O;D1;H0:4])-[CH;D3;+0:6](-[OH;D1;+0:5])-[c:7]>>[#8:1]-[PH;D3;+0:2](-[#8:3])=[O;D1;H0:4].[O;H0;D1;+0:5]=[CH;D2;+0:6]-[c:7],26
[#8:4]-[P;H0;D4;+0:5](-[#8:6])(=[O;D1;H0:7])-[CH;D3;+0:1](-[NH;D2;+0:8]-[c:9])-[c:2]:[#8;a:3]>>O=[CH;D2;+0:1]-[c:2]:[#8;a:3].[#8:4]-[PH;D3;+0:5](-[#8:6])=[O;D1;H0:7].[NH2;D1;+0:8]-[c:9],26
[CH3;D1;+0:6].[CH;D3;+0:2]-[c:3](:[c:4]:[cH;D2;+0:5]):[c:8]:[cH;D2;+0:7].[O;H0;D2;+0:1]>>[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3]1:[c:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[cH;D2;+0:7]:[c:8]:1,24
[#7;a:8]:[c:7]:[c:6]-[CH;D3;+0:5](-[NH;D2;+0:9]-[c:10])-[P;H0;D4;+0:1](-[#8:2])(-[#8:3])=[O;D1;H0:4]>>O-[P;H0;D4;+0:1](-[#8:2])(-[#8:3])=[O;D1;H0:4].O=[CH;D2;+0:5]-[c:6]:[c:7]:[#7;a:8].[NH2;D1;+0:9]-[c:10],24
[#16;a:3]:[c:2]-[CH;D3;+0:1](-[NH;D2;+0:8]-[c:9])-[P;H0;D4;+0:5](-[#8:4])(-[#8:6])=[O;D1;H0:7]>>O=[CH;D2;+0:1]-[c:2]:[#16;a:3].[#8:4]-[PH;D3;+0:5](-[#8:6])=[O;D1;H0:7].[NH2;D1;+0:8]-[c:9],24
[#8:3]-[P;H0;D4;+0:2](-[#8:4])(=[O;H0;D1;+0:1])-[CH;D3;+0:9]1-[c:8]:[c:7]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[N;H0;D3;+0:10]-1-[c:11]>>C-C-[O;H0;D2;+0:1]-[P;H0;D3;+0:2](-[#8:3])-[#8:4].O-[C;H0;D3;+0:5](=[O;D1;H0:6])-[c:7]:[c:8]-[CH;D2;+0:9]=O.[NH2;D1;+0:10]-[c:11],23
[#8:4]-[P;H0;D4;+0:5](-[#8:6])(=[O;D1;H0:7])-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[NH;D2;+0:8]-[c:9]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[#8:4]-[PH;D3;+0:5](-[#8:6])=[O;D1;H0:7].[NH2;D1;+0:8]-[c:9],22
[#8:3]-[P;H0;D4;+0:2](-[#8:4])(=[O;H0;D1;+0:1])-[CH;D3;+0:5](-[NH;D2;+0:8]-[c:9])-[c:6]:[#8;a:7]>>C-C-[O;H0;D2;+0:1]-[P;H0;D3;+0:2](-[#8:3])-[#8:4].O=[CH;D2;+0:5]-[c:6]:[#8;a:7].[NH2;D1;+0:8]-[c:9],20
[#7;a:3]:[c:4](:[#7;a:5])-[NH;D2;+0:6]-[CH;D3;+0:1](-[c:2])-[P;H0;D4;+0:8](-[#8:7])(-[#8:9])=[O;D1;H0:10]>>O=[CH;D2;+0:1]-[c:2].[#7;a:3]:[c:4](:[#7;a:5])-[NH2;D1;+0:6].[#8:7]-[PH;D3;+0:8](-[#8:9])=[O;D1;H0:10],20
[C:4]-[P;H0;D4;+0:5](-[C:6])(=[O;D1;H0:7])-[CH2;D2;+0:1]-[NH;D2;+0:3]-[C:2]>>O=[CH2;D1;+0:1].[C:2]-[NH2;D1;+0:3].[C:4]-[PH;D3;+0:5](-[C:6])=[O;D1;H0:7],20
[C:1]-[NH;D2;+0:2]-[CH;D3;+0:4]-[c:5]:[c:6]-[O;H0;D2;+0:7].[O;H0;D1;+0:3]>>[C:1]-[NH2;D1;+0:2].[O;H0;D1;+0:3]=[CH;D2;+0:4]-[c:5]:[c:6]-[OH;D1;+0:7],20
[#8:3]-[P;H0;D4;+0:4](-[#8:5])(=[O;D1;H0:6])-[CH;D3;+0:1](-[c:2])-[NH;D2;+0:7]-[c:8]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[P;H0;D3;+0:4](-[#8:5])=[O;D1;H0:6].[NH2;D1;+0:7]-[c:8],19
[#7:3]-[C:4](=[O;D1;H0:6])-[NH;D2;+0:5]-[CH;D3;+0:1](-[c:2])-[P;H0;D4;+0:8](-[#8:7])(-[#8:9])=[O;D1;H0:10]>>O=[CH;D2;+0:1]-[c:2].[#7:3]-[C:4](-[NH2;D1;+0:5])=[O;D1;H0:6].[#8:7]-[PH;D3;+0:8](-[#8:9])=[O;D1;H0:10],19
[#16;a:4]:[c:5](:[#7;a:6])-[NH;D2;+0:7]-[CH;D3;+0:1](-[c:2]:[#8;a:3])-[P;H0;D4;+0:9](-[#8:8])(-[#8:10])=[O;D1;H0:11]>>O=[CH;D2;+0:1]-[c:2]:[#8;a:3].[#16;a:4]:[c:5](:[#7;a:6])-[NH2;D1;+0:7].[#8:8]-[PH;D3;+0:9](-[#8:10])=[O;D1;H0:11],18
[#8:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[CH2;D2;+0:1]-[NH;D2;+0:7]-[C:6]>>O=[CH2;D1;+0:1].[#8:2]-[PH;D3;+0:3](-[#8:4])=[O;D1;H0:5].[C:6]-[NH2;D1;+0:7],18
[#16;a:3]:[c:4](:[#7;a:6]:[#7;a:7])-[NH;D2;+0:5]-[CH;D3;+0:1](-[c:2])-[P;H0;D4;+0:9](-[#8:8])(-[#8:10])=[O;D1;H0:11]>>O=[CH;D2;+0:1]-[c:2].[#16;a:3]:[c:4](-[NH2;D1;+0:5]):[#7;a:6]:[#7;a:7].[#8:8]-[PH;D3;+0:9](-[#8:10])=[O;D1;H0:11],17
[#16:3]-[NH;D2;+0:4]-[CH;D3;+0:1](-[c:2])-[P;H0;D4;+0:6](-[#8:5])(-[#8:7])=[O;D1;H0:8]>>O=[CH;D2;+0:1]-[c:2].[#16:3]-[NH2;D1;+0:4].[#8:5]-[PH;D3;+0:6](-[#8:7])=[O;D1;H0:8],17
[#16;a:7]:[c:8](:[#7;a:9])-[NH;D2;+0:10]-[CH;D3;+0:5](-[c:6])-[P;H0;D4;+0:2](-[#8:3])(-[#8:4])=[O;H0;D1;+0:1]>>C-[O;H0;D2;+0:1]-[P;H0;D3;+0:2](-[#8:3])-[#8:4].O=[CH;D2;+0:5]-[c:6].[#16;a:7]:[c:8](:[#7;a:9])-[NH2;D1;+0:10],17
