template,count
[C:5]-[CH2;D2;+0:4]-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3]>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].Br-[Mg]-[CH2;D2;+0:4]-[C:5],43
[C:5]-[CH2;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[CH2;D2;+0:4]-[C:5],43
[C:2]-[CH;D3;+0:1](-[C:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[CH;D3;+0:1](-[C:2])-[C:3].Br-[Mg]-[c;H0;D3;+0:4](:[c:5]):[c:6],40
[C;D1;H3:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Cl-[Mg]-[CH2;D2;+0:1]-[C;D1;H3:2].Cl-[c;H0;D3;+0:3](:[c:4]):[c:5],39
[C:3]-[C;H0;D3;+0:2](-[CH3;D1;+0:1])=[O;D1;H0:4]>>Br-[Mg]-[CH3;D1;+0:1].Cl-[C;H0;D3;+0:2](-[C:3])=[O;D1;H0:4],38
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[Mg]-[c;H0;D3;+0:4](:[c:5]):[c:6],37
[C:2]-[CH2;D2;+0:1]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[C;D1;H3:6]>>Br-[CH2;D2;+0:1]-[C:2].Cl-[Mg]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[C;D1;H3:6],36
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].C-c1:c:c:c(-S(=O)(=O)-O-[c;H0;D3;+0:4](:[c:5]):[c:6]):c:c:1,36
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],36
[C:5]-[C;H0;D4;+0:4](-[C:6])(-[C:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[C;H0;D4;+0:4](-[C:5])(-[C:6])-[C:7],36
