template,count
[C;D1;H3:5]-[C;H0;D3;+0:4](=[O;D1;H0:6])-[c;H0;D3;+0:8](:[c:7]):[c:9].[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[c;H0;D3;+0:11](:[c:10]):[c:12]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].Cl-[C;H0;D3;+0:4](-[C;D1;H3:5])=[O;D1;H0:6].[c:7]:[cH;D2;+0:8]:[c:9].[c:10]:[cH;D2;+0:11]:[c:12],41
[C:4]=[C:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4].[c:5]:[cH;D2;+0:6]:[c:7],39
[#7;a:4]:[c;H0;D3;+0:5](:[c:6])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7;a:4]:[cH;D2;+0:5]:[c:6],35
[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[c;H0;D3;+0:6]1:[c:7]:[c:8]:[#8;a:4]:[c:5]:1>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#8;a:4]1:[c:5]:[cH;D2;+0:6]:[c:7]:[c:8]:1,33
[O;D1;H0:2]=[S;H0;D4;+0:1](=[O;D1;H0:3])(-[c:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[c:5]:[cH;D2;+0:6]:[c:7],33
[O;D1;H0:1]=[C;H0;D3;+0:2](-[c:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>[O;D1;H0:1]=[C;H0;D3;+0:2](-[c:3])-O-c1:c:c:c:c:c:1.[c:4]:[cH;D2;+0:5]:[c:6],31
[#16;a:1]:[c;H0;D3;+0:2](:[c:3])-[C;H0;D3;+0:5](-[C:4])=[O;D1;H0:6].[O;D1;H0:9]=[C:8]-[OH;D1;+0:7]>>[#16;a:1]:[cH;D2;+0:2]:[c:3].[C:4]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[O;H0;D2;+0:7]-[C:8]=[O;D1;H0:9],29
[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[c:4]:[cH;D2;+0:5]:[c:6],29
[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[c;H0;D3;+0:7]1:[c:6]:[c:5]:[#7;a:4]:[c:8]:1>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[#7;a:4]1:[c:5]:[c:6]:[cH;D2;+0:7]:[c:8]:1,28
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[c;H0;D3;+0:11](:[c:10]):[c:12].[C:5]-[C;H0;D3;+0:4](=[O;D1;H0:6])-[c;H0;D3;+0:8](:[c:7]):[c:9]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].Cl-[C;H0;D3;+0:4](-[C:5])=[O;D1;H0:6].[c:7]:[cH;D2;+0:8]:[c:9].[c:10]:[cH;D2;+0:11]:[c:12],28
[#8:3]-[C:2](=[O;D1;H0:4])-[CH;D3;+0:1](-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7])-[c;H0;D3;+0:9](:[c:8]):[c:10]>>O=[CH;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[NH2;D1;+0:5]-[C:6]=[O;D1;H0:7].[c:8]:[cH;D2;+0:9]:[c:10],28
[C:1]-[C;H0;D3;+0:2](-[Cl;H0;D1;+0:4])=[CH;D2;+0:3]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[c:7]>>[C:1]-[C;H0;D2;+0:2]#[CH;D1;+0:3].[Cl;H0;D1;+0:4]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[c:7],27
[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[c;H0;D3;+0:6]1:[c:5]:[#16;a:4]:[c:8]:[c:7]:1>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#16;a:4]1:[c:5]:[cH;D2;+0:6]:[c:7]:[c:8]:1,27
