template,count
[C:4]-[N;H0;D3;+0:5](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH;D2;+0:5]-[c:6],88
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[NH;D2;+0:6]-[c:5]:[#7;a:4]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].[#7;a:4]:[c:5]-[NH2;D1;+0:6],87
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:4]-[C:5]=[O;D1;H0:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[NH2;D1;+0:4]-[C:5]=[O;D1;H0:6],87
[c:8]-[NH;D2;+0:7]-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[NH2;D1;+0:7]-[c:8],83
[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[N;H0;D3;+0:7](-[C:6])-[C:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],80
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:4]-[c:5]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[NH2;D1;+0:4]-[c:5],77
[#8:5]-[C:4](=[O;D1;H0:6])-[c:3]:[c;H0;D3;+0:1](:[c:2])-[NH;D2;+0:7]-[c:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]-[C:4](-[#8:5])=[O;D1;H0:6].[NH2;D1;+0:7]-[c:8],69
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:6]-[c:5]:[#7;a:4]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[#7;a:4]:[c:5]-[NH2;D1;+0:6],67
[c:2]:[c;H0;D3;+0:1](:[c:3])-[n;H0;D3;+0:5](:[c:4]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[c:4]:[nH;D2;+0:5]:[c:6],62
[#7;a:4]:[#7;a:5]:[c:6](:[#7;a:7])-[NH;D2;+0:8]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[#7;a:5]:[c:6](:[#7;a:7])-[NH2;D1;+0:8],61
[#7;a:4]:[#7;a:3]:[c;H0;D3;+0:1](:[c:2])-[NH;D2;+0:6]-[C:5]>>Cl-[c;H0;D3;+0:1](:[c:2]):[#7;a:3]:[#7;a:4].[C:5]-[NH2;D1;+0:6],60
