template,count
[C;D1;H2:2]=[CH;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>C-C-O-[Si](-O-C-C)(-O-C-C)-[CH;D2;+0:1]=[C;D1;H2:2].I-[c;H0;D3;+0:3](:[c:4]):[c:5],24
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>C=C-C-[Si](-C-C=C)(-C-C=C)-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[c;H0;D3;+0:4](:[c:5]):[c:6],22
[c:2]:[c;H0;D3;+0:1](:[c:3])-[CH;D3;+0:4]1-[C:5]-[#7:6]-[C:7]-1>>C-C-O-[Si](-O-C-C)(-O-C-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[CH;D3;+0:4]1-[C:5]-[#7:6]-[C:7]-1,21
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C-O-[Si](-O-C-C)(-O-C-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].C-N(-C)-C(=O)-O-[c;H0;D3;+0:4](:[c:5]):[c:6],21
[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Br-[CH2;D2;+0:1]-[C:2].C-O-[Si](-O-C)(-O-C)-[c;H0;D3;+0:3](:[c:4]):[c:5],20
[C;D1;H1:2]#[C;H0;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>C-[Si](-C)(-C)-[C;H0;D2;+0:1]#[C;D1;H1:2].I-[c;H0;D3;+0:3](:[c:4]):[c:5],20
[C:3]/[C:2]=[CH;D2;+0:1]/[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-[Si](-C)(-C)/[CH;D2;+0:1]=[C:2]/[C:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],19
[c:2]:[c;H0;D3;+0:1](:[c:3])-[CH2;D2;+0:4]-[c:5]>>C-O-[Si](-O-C)(-O-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].C-[N+](-C)(-C)-[CH2;D2;+0:4]-[c:5],19
[c:4]:[c;H0;D3;+0:3](:[c:5])-[CH2;D2;+0:1]-[c:2]>>C-C-O-P(=O)(-O-C-C)-O-[CH2;D2;+0:1]-[c:2].C-O-[Si](-O-C)(-O-C)-[c;H0;D3;+0:3](:[c:4]):[c:5],18
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C=C-C-[Si](-C-C=C)(-C-C=C)-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[c;H0;D3;+0:4](:[c:5]):[c:6],17
[#8:4]-[P;H0;D4;+0:5](-[#8:6])(=[O;D1;H0:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C-O-[Si](-O-C-C)(-O-C-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#8:4]-[PH;D3;+0:5](-[#8:6])=[O;D1;H0:7],17
[#16:2]-[S;H0;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>C-C(=O)-[S;H0;D2;+0:1]-[#16:2].C-O-[Si](-O-C)(-O-C)-[c;H0;D3;+0:3](:[c:4]):[c:5],17
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-O-[Si](-O-C)(-O-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[c;H0;D3;+0:4](:[c:5]):[c:6],16
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-[Si](-C)(-C)-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],16
[C:3]/[C:2]=[CH;D2;+0:1]/[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-[Si](-C)(/[CH;D2;+0:1]=[C:2]/[C:3])-c1:c:c:c:c:c:1-C-O.I-[c;H0;D3;+0:4](:[c:5]):[c:6],16
[#7;a:4]:[c;H0;D3;+0:5](:[c:6]:[#7;a:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C-O-[Si](-O-C-C)(-O-C-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[cH;D2;+0:5]:[c:6]:[#7;a:7],15
