template,count
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6],23
[#8:6]-[C:5](=[O;D1;H0:7])-[CH2;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[Zn]-[CH2;D2;+0:4]-[C:5](-[#8:6])=[O;D1;H0:7],23
[C:2]-[C@H;D3;+0:1](-[c;H0;D3;+0:7](:[c:8]):[c:9])-[C:3](-[F;D1;H0:4])(-[F;D1;H0:5])-[F;D1;H0:6]>>Br-[CH;D3;+0:1](-[C:2])-[C:3](-[F;D1;H0:4])(-[F;D1;H0:5])-[F;D1;H0:6].Cl-[Zn]-[c;H0;D3;+0:7](:[c:8]):[c:9],23
[O;D1;H0:7]=[C;H0;D3;+0:6](-[CH2;D2;+0:1]-[c:2])-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Cl-[CH2;D2;+0:1]-[c:2].I-[c;H0;D3;+0:3](:[c:4]):[c:5].[C;H0;D1;+0:6]=[O;D1;H0:7],23
[C:2]-[C@@H;D3;+0:1](-[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-S(=O)(=O)-O-[CH;D3;+0:1](-[C:2])-[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],22
[#16:2]-[C@@H;D3;+0:1](-[C:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[CH;D3;+0:1](-[#16:2])-[C:3].I-[Zn]-[c;H0;D3;+0:4](:[c:5]):[c:6],22
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6],21
[c:2]:[c;H0;D3;+0:1]:[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3],21
[#7;a:4]:[c:5]:[c;H0;D3;+0:6](:[c:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[cH;D2;+0:6]:[c:7],21
[C:2]-[CH;D3;+0:1](-[C:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[Zn]-[CH;D3;+0:1](-[C:2])-[C:3].Cl-[c;H0;D3;+0:4](:[c:5]):[c:6],21
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[Zn]-[c;H0;D3;+0:4](:[c:5]):[c:6],21
[c:4]:[c;H0;D3;+0:3](:[c:5])-[CH2;D2;+0:1]-[c:2]>>Br-[Zn]-[CH2;D2;+0:1]-[c:2].I-[c;H0;D3;+0:3](:[c:4]):[c:5],21
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-O-c1:c:c:c(-[Zn]-[c;H0;D3;+0:4](:[c:5]):[c:6]):c:c:1,21
[#16;a:4]:[c;H0;D3;+0:5](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[#16;a:4]:[cH;D2;+0:5]:[c:6],20
[#7:5]-[C:4](=[O;D1;H0:6])-[C;H0;D4;+0:1](-[F;D1;H0:2])(-[F;D1;H0:3])-[c;H0;D3;+0:7](:[c:8]):[c:9]>>Br-[C;H0;D4;+0:1](-[F;D1;H0:2])(-[F;D1;H0:3])-[C:4](-[#7:5])=[O;D1;H0:6].Cl-[Zn]-[c;H0;D3;+0:7](:[c:8]):[c:9],20
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6],20
[#8:4]-[C:5](=[O;D1;H0:6])-[c:7]:[c;H0;D3;+0:8](:[c:9])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[#8:4]-[C:5](=[O;D1;H0:6])-[c:7]:[cH;D2;+0:8]:[c:9],19
[C:4]-[CH;D3;+0:5](-[#7:6]-[C:7](=[O;D1;H0:8])-[#8:9]-[C:10](-[C;D1;H3:11])(-[C;D1;H3:12])-[C;D1;H3:13])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[CH2;D2;+0:5]-[#7:6]-[C:7](=[O;D1;H0:8])-[#8:9]-[C:10](-[C;D1;H3:11])(-[C;D1;H3:12])-[C;D1;H3:13],19
[#7;a:5]:[c:4]1:[#7;a:3]:[c:2]:[c;H0;D3;+0:1](-[CH2;D2;+0:7]-[C:8](-[#8:9])=[O;D1;H0:10]):[c:6]:1>>Br-[c;H0;D3;+0:1]1:[c:2]:[#7;a:3]:[c:4](:[#7;a:5]):[c:6]:1.Cl-[Zn]-[CH2;D2;+0:7]-[C:8](-[#8:9])=[O;D1;H0:10],19
[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Br-[CH2;D2;+0:1]-[C:2].Br-[c;H0;D3;+0:3](:[c:4]):[c:5],19
[#7;a:6]:[c:5]:[c;H0;D3;+0:3](:[c:4])-[CH2;D2;+0:1]-[c:2]>>Br-[Zn]-[CH2;D2;+0:1]-[c:2].Br-[c;H0;D3;+0:3](:[c:4]):[c:5]:[#7;a:6],18
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[Zn]-[c;H0;D3;+0:4](:[c:5]):[c:6],18
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],18
[#7;a:5]:[c;H0;D3;+0:4](:[c:6])-[CH;D3;+0:1](-[C:2])-[C:3]>>Br-[Zn]-[CH;D3;+0:1](-[C:2])-[C:3].Cl-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],18
[#7;a:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].Cl-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],17
[#8:7]-[C:6](=[O;D1;H0:8])-[C:5]-[CH2;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[Zn]-[CH2;D2;+0:4]-[C:5]-[C:6](-[#8:7])=[O;D1;H0:8],17
[#8:4]-[C:3](=[O;D1;H0:5])-[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:6](:[c:7]):[c:8]>>Br-[Zn]-[CH2;D2;+0:1]-[C:2]-[C:3](-[#8:4])=[O;D1;H0:5].Br-[c;H0;D3;+0:6](:[c:7]):[c:8],17
[#7:5]-[C:4](-[C:6]=[C:7])-[CH2;D2;+0:3]-[CH2;D2;+0:1]-[C:2]>>Br-[Zn]-[CH2;D2;+0:1]-[C:2].I-[CH2;D2;+0:3]-[C:4](-[#7:5])-[C:6]=[C:7],17
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[#7;a:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].Cl-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],16
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[CH2;D2;+0:5]-[C:6](-[#8:7])=[O;D1;H0:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].Cl-[Zn]-[CH2;D2;+0:5]-[C:6](-[#8:7])=[O;D1;H0:8],16
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-O-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],16
[#7;a:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[Zn]-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],16
[#7;a:7]:[c:6]:[c:5]:[c;H0;D3;+0:3](:[c:4])-[CH2;D2;+0:1]-[C:2]>>Br-[Zn]-[CH2;D2;+0:1]-[C:2].Br-[c;H0;D3;+0:3](:[c:4]):[c:5]:[c:6]:[#7;a:7],16
[#7;a:4]:[c;H0;D3;+0:5](:[#8;a:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[cH;D2;+0:5]:[#8;a:6],16
[C:5]-[CH;D3;+0:4](-[C:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[CH;D3;+0:4](-[C:5])-[C:6],16
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-c1:c:c:c:c:c:1-[Zn]-[c;H0;D3;+0:4](:[c:5]):[c:6],16
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[Zn]-[c;H0;D3;+0:1](:[c:2]):[c:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6],16
[C:4]=[C;H0;D3;+0:3](-[c:5])-[c;H0;D3;+0:1]1:[cH;D2;+0:2]:[n;H0;D3;+0:7](-[C:6]):[n;H0;D2;+0:8]:[n;H0;D2;+0:9]:1>>Br-[Mg]-[C;H0;D2;+0:1]#[CH;D1;+0:2].F-C(-F)(-F)-S(=O)(=O)-O-[C;H0;D3;+0:3](=[C:4])-[c:5].[C:6]-[N;H0;D2;+0:7]=[N+;H0;D2:8]=[N-;H0;D1:9],16
[#7;a:4]:[c;H0;D3;+0:3](:[c:5])-[CH2;D2;+0:1]-[C:2]>>Br-[Zn]-[CH2;D2;+0:1]-[C:2].Cl-[c;H0;D3;+0:3](:[#7;a:4]):[c:5],16
[#16;a:4]:[c;H0;D3;+0:5](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[#16;a:4]:[c;H0;D3;+0:5](:[c:6])-[Zn]-c1:c:c:c:s:1,16
[#8:6]-[#5:5](-[#8:7])-[CH;D3;+0:1](-[#5:2](-[#8:3])-[#8:4])-[c;H0;D3;+0:8](:[c:9]):[c:10]>>Br-[Zn]-[CH;D3;+0:1](-[#5:2](-[#8:3])-[#8:4])-[#5:5](-[#8:6])-[#8:7].Br-[c;H0;D3;+0:8](:[c:9]):[c:10],15
[C:2]-[CH2;D2;+0:1]-[CH2;D2;+0:3]-[C:4]>>Br-[CH2;D2;+0:1]-[C:2].Br-[Zn]-[CH2;D2;+0:3]-[C:4],15
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[#7;a:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].Br-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],15
[C:5]-[CH;D2;+0:4]=[C;H0;D2;+0:3]=[CH;D2;+0:1]-[c:2]>>C-O-C(=O)-O-[CH;D3;+0:1](-[c:2])-[C;H0;D2;+0:3]#[C;H0;D2;+0:4]-[C:5],15
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Cl-[Zn]-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],15
[CH3;D1;+0:1]-[c;H0;D3;+0:2](:[c:3]):[c:4]>>C-[Zn]-[CH3;D1;+0:1].F-[c;H0;D3;+0:2](:[c:3]):[c:4],15
[#7;a:3]:[c:2]:[c;H0;D3;+0:1](-[C;H0;D2;+0:6]#[N;D1;H0:7]):[c:4]:[#7;a:5]>>Br-[c;H0;D3;+0:1](:[c:2]:[#7;a:3]):[c:4]:[#7;a:5].[C-;H0;D1:6]#[N;D1;H0:7],15
[C:4]-[C;H0;D3;+0:5](=[C:6]=[C:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[CH;D2;+0:5]=[C:6]=[C:7],15
[#16;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[c;H0;D3;+0:4](:[#16;a:5]):[#7;a:6]>>Br-[c;H0;D3;+0:1](:[#16;a:2]):[#7;a:3].Br-[c;H0;D3;+0:4](:[#16;a:5]):[#7;a:6],15
[CH3;D1;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-[Zn]-[CH3;D1;+0:4],15
[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].Cl-[Zn]-[c;H0;D3;+0:4](:[c:5]):[c:6],15
[C:6]/[C:5]=[C;H0;D3;+0:3](\[c:4])-[C;H0;D2;+0:1]#[C:2]>>Br-[C;H0;D2;+0:1]#[C:2].I-[Zn]/[C;H0;D3;+0:3](-[c:4])=[C:5]\[C:6],15
[#7;a:4]:[c;H0;D3;+0:5](:[#7;a:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[cH;D2;+0:5]:[#7;a:6],15
[#16;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Cl-[Zn]-[c;H0;D3;+0:1](:[#16;a:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],15
[C;D1;H3:2]-[CH;D3;+0:1](-[C;D1;H3:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[Zn]-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6],15
[#16:3]-[NH;D2;+0:4]-[C:5]-[C;H0;D4;+0:6](-[C;D1;H3:7])(-[c:8])-[CH2;D2;+0:1]-[C:2]>>Br-[Zn]-[CH2;D2;+0:1]-[C:2].[#16:3]-[N;H0;D3;+0:4]1-[C:5]-[C;H0;D4;+0:6]-1(-[C;D1;H3:7])-[c:8],14
[#7;a:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].Br-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],14
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].F-C(-F)(-F)-S(=O)(=O)-O-[c;H0;D3;+0:4](:[c:5]):[c:6],14
[#7;a:4]:[c;H0;D3;+0:5](:[#8;a:6])-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[#7;a:4]:[cH;D2;+0:5]:[#8;a:6],14
[C:4]=[C:3]/[C:2](/[C:5]=[C:6])=[C;H0;D3;+0:1](-[CH;D2;+0:7]=[C;D1;H2:8])-[CH;D2;+0:9]=[C;D1;H2:10]>>Br-[C;H0;D3;+0:1](-Br)=[C:2](/[C:3]=[C:4])/[C:5]=[C:6].Br-[Mg]-[CH;D2;+0:7]=[C;D1;H2:8].Br-[Mg]-[CH;D2;+0:9]=[C;D1;H2:10],14
[C:5]#[C;H0;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[Zn]-[C;H0;D2;+0:4]#[C:5],14
[#16;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#16;a:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],14
[O;D1;H0:5]=[C;H0;D3;+0:4](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Zn]-[c;H0;D3;+0:1](:[c:2]):[c:3].O=C1-C-C-C-C(=O)-N-1-[C;H0;D3;+0:4](=[O;D1;H0:5])-[c:6],14
[#8:8]-[C:7](=[O;D1;H0:9])-[C:6]=[C;H0;D3;+0:4](-[C:5])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].F-C(-F)(-F)-S(=O)(=O)-O-[C;H0;D3;+0:4](-[C:5])=[C:6]-[C:7](-[#8:8])=[O;D1;H0:9],14
[#7;a:5]:[c:4]:[c;H0;D3;+0:3](-[CH2;D2;+0:1]-[C:2]):[c:6]:[#7;a:7]>>Br-[CH2;D2;+0:1]-[C:2].I-[c;H0;D3;+0:3](:[c:4]:[#7;a:5]):[c:6]:[#7;a:7],13
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4]1:[#7;a:5]:[#7;a:6]:[c:7]:[c:8]:1>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[Zn]-[c;H0;D3;+0:4]1:[#7;a:5]:[#7;a:6]:[c:7]:[c:8]:1,13
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[Zn]-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].Cl-[c;H0;D3;+0:4](:[c:5]):[c:6],13
[#8:3]-[C:2](=[O;D1;H0:4])-[C;H0;D4;+0:1]1(-[c;H0;D3;+0:7](:[c:8]):[c:9])-[C:5]-[C:6]-1>>Br-[Zn]-[C;H0;D4;+0:1]1(-[C:2](-[#8:3])=[O;D1;H0:4])-[C:5]-[C:6]-1.Br-[c;H0;D3;+0:7](:[c:8]):[c:9],13
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:7]1:[c:6]:[c:5]:[#7;a:4]:[c:9]:[c:8]:1>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]1:[c:5]:[c:6]:[cH;D2;+0:7]:[c:8]:[c:9]:1,13
