template,count
[C:2]-[CH;D3;+0:1](-[C:3]-[C:4]=[C:5])-[C:6](=[O;D1;H0:7])-[OH;D1;+0:8]>>C-C-O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[C:3]-[C:4]=[C:5])-[C:6](=[O;D1;H0:7])-[O;H0;D2;+0:8]-C-C,9
[C:2]-[CH2;D2;+0:1]-[CH2;D2;+0:3]-[C:4](=[O;D1;H0:5])-[OH;D1;+0:6]>>Br-[CH2;D2;+0:1]-[C:2].C-C-O-C(=O)-[CH2;D2;+0:3]-[C:4](=[O;D1;H0:5])-[O;H0;D2;+0:6]-C-C,9
[C:2]-[CH2;D2;+0:1]-[C:3]=[O;D1;H0:4]>>C-C-O-C(=O)-[CH;D3;+0:1](-[C:2])-[C:3]=[O;D1;H0:4],9
[C:2]-[CH;D3;+0:1](-[C:3])-[C:4]=[O;D1;H0:5]>>C-C-O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[C:4]=[O;D1;H0:5],9
[C:2]-[CH2;D2;+0:1]-[C:3]=[O;D1;H0:4]>>C-O-C(=O)-[CH;D3;+0:1](-[C:2])-[C:3]=[O;D1;H0:4],9
[CH3;D1;+0:1]-[CH;D3;+0:2](-[c:3])-[C:4]#[N;D1;H0:5]>>O=C(-[CH3;D1;+0:1])-O-[CH;D3;+0:2](-[c:3])-[C:4]#[N;D1;H0:5],9
[C:4]=[C:3]1\[#7:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:1]=[C:2]-1>>C-O-C(=O)-[C;H0;D3;+0:1]1=[C:2]/[C:3](=[C:4])-[#7:5]-[C:6]-1=[O;D1;H0:7],9
[O;D1;H0:2]=[CH;D2;+0:1]-[c:3]>>O-C(=O)-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3],9
[#7;a:2]:[cH;D2;+0:1]:[c:3].[#7;a:5]:[cH;D2;+0:4]:[c:6]>>O-C(=O)-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].O-C(=O)-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],9
[#7:5]-[C:4](\[C:6]=[C:7])=[CH;D2;+0:1]/[c:2]:[#7;a:3]>>O-C(=O)/[C;H0;D3;+0:1](-[c:2]:[#7;a:3])=[C:4](-[#7:5])\[C:6]=[C:7],9
[CH2;D1;+0:1]=[C:2]-[c:3]>>O-C(=O)/[CH;D2;+0:1]=[C:2]/[c:3],8
[#7;a:2]:[cH;D2;+0:1]:[c:3]>>C-C(-C)(-C)-O-C(=O)-[c;H0;D3;+0:1](:[#7;a:2]):[c:3],8
[O;D1;H0:3]=[C:2](-[O;D1;H1:4])-[CH;D2;+0:1]=[CH;D2;+0:5]-[c:6]>>O-C(=O)-[CH2;D2;+0:1]-[C:2](=[O;D1;H0:3])-[O;D1;H1:4].O=[CH;D2;+0:5]-[c:6],8
[#7:7]-[C:6](=[O;D1;H0:8])-[CH;D3;+0:1](-[C:2])-[C:3]-[C:4]=[C:5]>>O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[C:3]-[C:4]=[C:5])-[C:6](-[#7:7])=[O;D1;H0:8],8
[#16;a:2]:[cH;D2;+0:1]:[#7;a:3]>>O-C(=O)-[c;H0;D3;+0:1](:[#16;a:2]):[#7;a:3],8
[#7:5]-[C:4](=[O;D1;H0:6])-[C:3]-[NH;D2;+0:1]-[C:2]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3]-[C:4](-[#7:5])=[O;D1;H0:6],8
[OH;D1;+0:1]-[C:2]-[C:3]-[NH;D2;+0:4]-[c:5]>>O=C1-[O;H0;D2;+0:1]-[C:2]-[C:3]-[N;H0;D3;+0:4]-1-[c:5],8
[#7:4]-[C:3](=[O;D1;H0:5])-[C:2]-[NH2;D1;+0:1]>>O=C(-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1)-[NH;D2;+0:1]-[C:2]-[C:3](-[#7:4])=[O;D1;H0:5],7
[#7;a:4]1:[c:3]:[c:2]:[cH;D2;+0:1]:[c:6]:[c:5]:1>>O-C(=O)-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1,7
[#7;a:2]:[cH;D2;+0:1]:[c:3]-[C:4](-[#8:5])=[O;D1;H0:6]>>O-C(=O)-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]-[C:4](-[#8:5])=[O;D1;H0:6],7
[NH2;D1;+0:4]-[c:3]:[c:2]-[C;H0;D3;+0:1]1=[N;H0;D2;+0:5]-[C:6]-[C:7]-[O;H0;D2;+0:8]-1>>O=[c;H0;D3;+0:1]1:[c:2]:[c:3]:[nH;D2;+0:4]:c(=O):o:1.[NH2;D1;+0:5]-[C:6]-[C:7]-[OH;D1;+0:8],7
[C:2]-[CH;D3;+0:1](-[C:3]-[C:4]=[C:5])-[C;H0;D3;+0:6](=[O;D1;H0:7])-[NH;D2;+0:8]-[c:9]>>C-C1(-C)-O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[C:3]-[C:4]=[C:5])-[C;H0;D3;+0:6](=[O;D1;H0:7])-O-1.[NH2;D1;+0:8]-[c:9],7
[#7:4]-[C:3](=[O;D1;H0:5])-[C:2]-[NH;D2;+0:1]-[C;H0;D3;+0:6](-[C:7])=[O;D1;H0:8]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[C:2]-[C:3](-[#7:4])=[O;D1;H0:5].O-[C;H0;D3;+0:6](-[C:7])=[O;D1;H0:8],7
[#7;a:2]:[cH;D2;+0:1]:[c:3].[#7;a:5]:[cH;D2;+0:4]:[c:6]>>C-C-O-C(=O)-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].C-C-O-C(=O)-[c;H0;D3;+0:4](:[#7;a:5]):[c:6],7
[#7;a:6]:[c:5]:[c:3](:[#7;a:4])-[CH2;D2;+0:1]-[C;D1;H3:2]>>C-C-O-C(=O)-[CH;D3;+0:1](-[C;D1;H3:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6],7
[C:2]-[CH;D3;+0:1](-[#7:3]-[C:4](-[C;D1;H3:5])=[O;D1;H0:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9]>>O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[#7:3]-[C:4](-[C;D1;H3:5])=[O;D1;H0:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9],6
[#16;a:2]:[cH;D2;+0:1]:[c:3]>>O-C(=O)-[c;H0;D3;+0:1](:[#16;a:2]):[c:3],6
[CH;D3;+0:2]-[CH;D3;+0:3](-[OH;D1;+0:1])-[c:4]>>O=C(-[OH;D1;+0:1])/[CH;D2;+0:2]=[CH;D2;+0:3]/[c:4],6
[CH;D2;+0:2]-[C:3]=[O;D1;H0:4].[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-C(=O)-[CH2;D2;+0:2]-[C:3]=[O;D1;H0:4],6
[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3]>>O=C(-[OH;D1;+0:1])-[CH2;D2;+0:2]-[c:3],6
[CH3;D1;+0:1]-[c:2]>>O-C(=O)-[CH2;D2;+0:1]-[c:2],6
[#7;a:5]:[c:4]:[c:3]-[NH;D2;+0:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[N;H0;D3;+0:2](-[c:3]:[c:4]:[#7;a:5])-C(=O)-O-C(-C)(-C)-C,6
[#8:5]-[C:4](=[O;D1;H0:6])-[CH;D3;+0:1](-[C:2])-[C:3]>>C-C-O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[C:4](-[#8:5])=[O;D1;H0:6],6
[C;D1;H3:2]-[C@H;D3;+0:1](-[c:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>O-C(=O)-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[c:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6],6
[C:2]-[CH;D3;+0:1](-[c:3])-[C:4]#[N;D1;H0:5]>>C-C-O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[c:3])-[C:4]#[N;D1;H0:5],6
